playlist_id,user_id,name,created_at
101,1,"Bollywood Retro","2025-03-16 19:59:22"
102,2,"Romantic Melodies","2025-03-16 19:59:22"
103,3,"Party Hits","2025-03-16 19:59:22"
104,4,"Lofi Bollywood","2025-03-16 19:59:22"
105,5,"Workout Motivation","2025-03-16 19:59:22"
106,6,"90s Bollywood","2025-03-16 19:59:22"
107,7,"Latest Bollywood","2025-03-16 19:59:22"
108,8,"Bollywood Sad Songs","2025-03-16 19:59:22"
109,9,"Indian Classical","2025-03-16 19:59:22"
110,10,"Bhangra Beats","2025-03-16 19:59:22"
111,11,"Evergreen Hits","2025-03-16 19:59:22"
112,12,"Indie Bollywood","2025-03-16 19:59:22"
113,13,"Rainy Day Melodies","2025-03-16 19:59:22"
114,14,"Bollywood Road Trip","2025-03-16 19:59:22"
115,15,"Festival Special","2025-03-16 19:59:22"
116,16,"Punjabi Beats","2025-03-16 19:59:22"
117,17,"South Sensation","2025-03-16 19:59:22"
118,18,"Marathi Melodies","2025-03-16 19:59:22"
119,19,"Evergreen Classics","2025-03-16 19:59:22"
120,20,"Indie Vibes","2025-03-16 19:59:22"
121,21,"Desi Chartbusters","2025-03-16 19:59:22"
122,22,"Tollywood Hits","2025-03-16 19:59:22"
123,23,"Bhojpuri Party","2025-03-16 19:59:22"
124,24,"Carnatic Bliss","2025-03-16 19:59:22"
125,25,"Fusion Grooves","2025-03-16 19:59:22"
